ID_Complicacoes;Perfil_Morbidade;Uso_Insulina;Problema_Vista;Infarto;AVC;Problema_Circulatorio;Problema_Rins;Ulcera_Pes;Amputacao;Coma_Diabetico
1;Não diabéticos;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica
2;0. Diabético (Sem tratamento reportado);Não se aplica;Não;Não;Não;Não;Não;Não;Não;Não
3;0. Diabético (Sem tratamento reportado);Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica
4;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Não;Não;Não;Não;Não
5;1. Tratamento Base (Meds/Insulina);Sim;Não;Não;Não;Não;Não;Não;Não;Não
6;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Não;Sim;Não;Não;Sim;Sim
7;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Não;Sim;Não;Não
8;1. Tratamento Base (Meds/Insulina);Não se aplica;Não;Não;Não;Não;Não;Não;Não;Não
9;3. Grave (Eventos Agudos/Amputação);Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não
10;1. Tratamento Base (Meds/Insulina);Não;Não;Não;Não;Não;Não;Não;Não;Não
11;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Sim;Não;Não;Não;Não
12;2. Moderado (Complicações/Internação);Sim;Sim;Não;Não;Não;Não;Não;Não;Não
13;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Não;Não;Não;Não
14;2. Moderado (Complicações/Internação);Sim;Sim;Não;Não;Sim;Não;Não;Não;Não
15;1. Tratamento Base (Meds/Insulina);Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica
16;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Sim;Não;Não;Não;Não
17;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Sim;Não;Não;Não;Não
18;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Sim;Não;Não;Não
19;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Sim;Sim;Não;Não;Não;Não;Não
20;2. Moderado (Complicações/Internação);Sim;Não;Não;Não;Não;Não;Sim;Não;Não
21;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Sim;Sim;Não;Não;Não
22;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Não;Sim;Não;Não;Não
23;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Não;Não;Não;Sim
24;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Não;Não;Não;Não;Sim
25;1. Tratamento Base (Meds/Insulina);Sim;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Não se aplica
26;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Não;Sim;Sim;Não;Não;Sim
27;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Não;Sim;Sim;Não;Não
28;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Sim;Sim;Sim;Não;Não
29;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Não;Não;Sim;Sim;Não;Sim;Sim
30;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Não;Sim;Sim;Sim;Não;Não
31;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Não;Sim;Não;Não;Sim
32;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Não;Não;Não;Não;Não;Não
33;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Sim;Não;Não;Não;Não;Não;Não
34;2. Moderado (Complicações/Internação);Sim;Não;Não;Não;Não;Não;Não;Não;Não
35;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Não;Não;Sim;Não;Sim;Sim;Não
36;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Sim;Não;Não;Não;Não;Não
37;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Não;Não;Não;Não;Não
38;2. Moderado (Complicações/Internação);Sim;Não;Não;Não;Sim;Não;Não;Não;Não
39;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Sim;Sim;Não;Não
40;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Sim;Sim;Não;Não;Não
41;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Sim;Sim;Não;Não;Não
42;3. Grave (Eventos Agudos/Amputação);Não;Sim;Não;Sim;Sim;Não;Sim;Não;Não
43;2. Moderado (Complicações/Internação);Sim;Sim;Não;Não;Sim;Não;Sim;Não;Não
44;2. Moderado (Complicações/Internação);Não se aplica;Não;Não;Não;Não;Não;Sim;Não;Não
45;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Sim;Sim;Sim;Não;Não
46;2. Moderado (Complicações/Internação);Não;Não;Não;Não;Sim;Não;Não;Não;Não
47;2. Moderado (Complicações/Internação);Não;Não;Não;Não;Não;Não;Sim;Não;Não
48;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Sim;Não;Sim;Não;Não;Não
49;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Não;Não;Sim;Não;Não;Não
50;3. Grave (Eventos Agudos/Amputação);Não;Sim;Sim;Não;Sim;Não;Não;Não;Não
51;2. Moderado (Complicações/Internação);Sim;Não;Não;Não;Não;Sim;Não;Não;Não
52;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim
53;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Não;Não;Não;Não;Não;Sim;Não
54;2. Moderado (Complicações/Internação);Sim;Sim;Não;Não;Não;Sim;Não;Não;Não
55;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Não;Sim;Não;Não;Sim
56;3. Grave (Eventos Agudos/Amputação);Não se aplica;Sim;Não;Não;Sim;Não;Não;Sim;Não
57;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Sim;Não;Sim;Sim;Não;Não;Não
58;2. Moderado (Complicações/Internação);Sim;Não;Não;Não;Sim;Sim;Não;Não;Não
59;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Não;Não;Sim;Não;Não;Sim;Sim
60;2. Moderado (Complicações/Internação);Não se aplica;Sim;Não;Não;Sim;Sim;Não;Não;Sim
61;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Não;Sim;Não;Não;Não;Não;Não
62;2. Moderado (Complicações/Internação);Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não
63;3. Grave (Eventos Agudos/Amputação);Não se aplica;Não;Sim;Sim;Sim;Não;Não;Não;Não
