ID_Sociodemografia;Sexo;Cor_Raca;Nivel_Instrucao;Faixa_Etaria
1;Masculino;Parda;Fundamental Incompleto;18 a 29 anos
2;Masculino;Parda;Médio Incompleto;18 a 29 anos
3;Masculino;Branca;Médio Incompleto;18 a 29 anos
4;Masculino;Parda;Sem instrução;18 a 29 anos
5;Masculino;Branca;Superior Incompleto;18 a 29 anos
6;Masculino;Branca;Fundamental Incompleto;18 a 29 anos
7;Masculino;Branca;Médio Completo;18 a 29 anos
8;Masculino;Parda;Fundamental Completo;18 a 29 anos
9;Masculino;Parda;Superior Incompleto;18 a 29 anos
10;Masculino;Branca;Fundamental Completo;18 a 29 anos
11;Masculino;Indígena;Fundamental Completo;18 a 29 anos
12;Masculino;Preta;Fundamental Incompleto;18 a 29 anos
13;Masculino;Preta;Sem instrução;18 a 29 anos
14;Masculino;Parda;Médio Completo;18 a 29 anos
15;Masculino;Parda;Superior Completo;18 a 29 anos
16;Masculino;Preta;Médio Completo;18 a 29 anos
17;Masculino;Preta;Fundamental Completo;18 a 29 anos
18;Masculino;Branca;Sem instrução;18 a 29 anos
19;Masculino;Preta;Médio Incompleto;18 a 29 anos
20;Masculino;Preta;Superior Incompleto;18 a 29 anos
21;Masculino;Indígena;Médio Completo;18 a 29 anos
22;Masculino;Amarela;Superior Incompleto;18 a 29 anos
23;Masculino;Parda;Fundamental Completo;46 a 59 anos
24;Masculino;Branca;Superior Completo;18 a 29 anos
25;Masculino;Amarela;Fundamental Incompleto;18 a 29 anos
26;Masculino;Indígena;Sem instrução;18 a 29 anos
27;Masculino;Indígena;Superior Incompleto;18 a 29 anos
28;Masculino;Preta;Superior Completo;18 a 29 anos
29;Masculino;Preta;Médio Completo;30 a 45 anos
30;Masculino;Parda;Fundamental Incompleto;30 a 45 anos
31;Masculino;Amarela;Médio Completo;18 a 29 anos
32;Masculino;Amarela;Médio Incompleto;18 a 29 anos
33;Masculino;Branca;Sem instrução;30 a 45 anos
34;Masculino;Branca;Médio Completo;30 a 45 anos
35;Masculino;Parda;Sem instrução;30 a 45 anos
36;Masculino;Parda;Médio Completo;30 a 45 anos
37;Masculino;Amarela;Sem instrução;18 a 29 anos
38;Masculino;Parda;Médio Incompleto;30 a 45 anos
39;Masculino;Branca;Fundamental Completo;30 a 45 anos
40;Masculino;Parda;Fundamental Completo;30 a 45 anos
41;Masculino;Branca;Fundamental Incompleto;30 a 45 anos
42;Masculino;Branca;Médio Incompleto;30 a 45 anos
43;Masculino;Preta;Fundamental Incompleto;30 a 45 anos
44;Masculino;Parda;Superior Completo;30 a 45 anos
45;Masculino;Branca;Superior Completo;30 a 45 anos
46;Masculino;Amarela;Fundamental Completo;30 a 45 anos
47;Masculino;Preta;Superior Incompleto;30 a 45 anos
48;Masculino;Branca;Superior Incompleto;30 a 45 anos
49;Masculino;Indígena;Médio Completo;30 a 45 anos
50;Masculino;Parda;Superior Incompleto;30 a 45 anos
51;Masculino;Amarela;Superior Incompleto;30 a 45 anos
52;Masculino;Preta;Sem instrução;30 a 45 anos
53;Masculino;Preta;Fundamental Completo;30 a 45 anos
54;Masculino;Amarela;Médio Completo;30 a 45 anos
55;Masculino;Preta;Superior Completo;30 a 45 anos
